"BehaviorSpace results (NetLogo 6,0)"
"Simple Birth Ratesmodositott,nlogo"
"kék termékenységének hatása a piros kihalására"
"03/02/2017 14:30:37:367 +0100"
"min-pxcor";"max-pxcor";"min-pycor";"max-pycor"
"-50";"50";"-50";"50"
"[run number]";"carrying-capacity";"red-fertility";"blue-fertility";"[step]";"ticks ;végén kell csak adatot kimenteni"
"3";"1000";"2";"2,1";"130";"130"
"4";"1000";"2";"2,1";"146";"146"
"1";"1000";"2";"2,1";"157";"157"
"7";"1000";"2";"2,1";"131";"131"
"6";"1000";"2";"2,1";"190";"190"
"2";"1000";"2";"2,1";"183";"183"
"5";"1000";"2";"2,1";"235";"235"
"8";"1000";"2";"2,1";"170";"170"
"11";"1000";"2";"2,2";"71";"71"
"9";"1000";"2";"2,1";"150";"150"
"12";"1000";"2";"2,2";"57";"57"
"14";"1000";"2";"2,2";"63";"63"
"13";"1000";"2";"2,2";"145";"145"
"15";"1000";"2";"2,2";"85";"85"
"10";"1000";"2";"2,1";"183";"183"
"16";"1000";"2";"2,2";"82";"82"
"17";"1000";"2";"2,2";"81";"81"
"18";"1000";"2";"2,2";"81";"81"
"20";"1000";"2";"2,2";"75";"75"
"19";"1000";"2";"2,2";"86";"86"
"22";"1000";"2";"2,3";"39";"39"
"23";"1000";"2";"2,3";"57";"57"
"21";"1000";"2";"2,3";"90";"90"
"24";"1000";"2";"2,3";"60";"60"
"25";"1000";"2";"2,3";"58";"58"
"26";"1000";"2";"2,3";"62";"62"
"29";"1000";"2";"2,3";"47";"47"
"28";"1000";"2";"2,3";"53";"53"
"27";"1000";"2";"2,3";"70";"70"
"31";"1000";"2";"2,4";"37";"37"
"32";"1000";"2";"2,4";"35";"35"
"33";"1000";"2";"2,4";"48";"48"
"34";"1000";"2";"2,4";"32";"32"
"30";"1000";"2";"2,3";"81";"81"
"35";"1000";"2";"2,4";"44";"44"
"36";"1000";"2";"2,4";"37";"37"
"37";"1000";"2";"2,4";"47";"47"
"38";"1000";"2";"2,4";"44";"44"
"39";"1000";"2";"2,4";"46";"46"
"42";"1000";"2";"2,5";"38";"38"
"40";"1000";"2";"2,4";"65";"65"
"41";"1000";"2";"2,5";"60";"60"
"43";"1000";"2";"2,5";"42";"42"
"44";"1000";"2";"2,5";"38";"38"
"45";"1000";"2";"2,5";"38";"38"
"46";"1000";"2";"2,5";"34";"34"
"47";"1000";"2";"2,5";"48";"48"
"48";"1000";"2";"2,5";"38";"38"
"50";"1000";"2";"2,5";"33";"33"
"49";"1000";"2";"2,5";"50";"50"
"51";"1000";"2";"2,6";"42";"42"
"52";"1000";"2";"2,6";"44";"44"
"54";"1000";"2";"2,6";"35";"35"
"53";"1000";"2";"2,6";"36";"36"
"55";"1000";"2";"2,6";"28";"28"
"56";"1000";"2";"2,6";"37";"37"
"57";"1000";"2";"2,6";"35";"35"
"58";"1000";"2";"2,6";"32";"32"
"60";"1000";"2";"2,6";"24";"24"
"62";"1000";"2";"2,7";"26";"26"
"61";"1000";"2";"2,7";"28";"28"
"59";"1000";"2";"2,6";"40";"40"
"63";"1000";"2";"2,7";"24";"24"
"65";"1000";"2";"2,7";"27";"27"
"64";"1000";"2";"2,7";"31";"31"
"66";"1000";"2";"2,7";"34";"34"
"67";"1000";"2";"2,7";"26";"26"
"68";"1000";"2";"2,7";"29";"29"
"69";"1000";"2";"2,7";"31";"31"
"70";"1000";"2";"2,7";"27";"27"
"71";"1000";"2";"2,8";"36";"36"
"72";"1000";"2";"2,8";"26";"26"
"73";"1000";"2";"2,8";"26";"26"
"74";"1000";"2";"2,8";"31";"31"
"75";"1000";"2";"2,8";"28";"28"
"76";"1000";"2";"2,8";"26";"26"
"77";"1000";"2";"2,8";"25";"25"
"79";"1000";"2";"2,8";"26";"26"
"78";"1000";"2";"2,8";"35";"35"
"80";"1000";"2";"2,8";"34";"34"
"81";"1000";"2";"2,9";"32";"32"
"82";"1000";"2";"2,9";"30";"30"
"84";"1000";"2";"2,9";"25";"25"
"85";"1000";"2";"2,9";"23";"23"
"83";"1000";"2";"2,9";"36";"36"
"87";"1000";"2";"2,9";"21";"21"
"86";"1000";"2";"2,9";"32";"32"
"89";"1000";"2";"2,9";"24";"24"
"88";"1000";"2";"2,9";"33";"33"
"90";"1000";"2";"2,9";"20";"20"
"92";"1000";"2";"3";"18";"18"
"91";"1000";"2";"3";"29";"29"
"93";"1000";"2";"3";"22";"22"
"94";"1000";"2";"3";"17";"17"
"95";"1000";"2";"3";"19";"19"
"96";"1000";"2";"3";"21";"21"
"98";"1000";"2";"3";"34";"34"
"99";"1000";"2";"3";"24";"24"
"100";"1000";"2";"3";"23";"23"
"97";"1000";"2";"3";"36";"36"
"103";"1000";"2";"3,1";"18";"18"
"104";"1000";"2";"3,1";"20";"20"
"102";"1000";"2";"3,1";"22";"22"
"101";"1000";"2";"3,1";"28";"28"
"107";"1000";"2";"3,1";"17";"17"
"105";"1000";"2";"3,1";"25";"25"
"106";"1000";"2";"3,1";"21";"21"
"108";"1000";"2";"3,1";"18";"18"
"112";"1000";"2";"3,2";"15";"15"
"109";"1000";"2";"3,1";"24";"24"
"110";"1000";"2";"3,1";"23";"23"
"111";"1000";"2";"3,2";"24";"24"
"113";"1000";"2";"3,2";"21";"21"
"115";"1000";"2";"3,2";"18";"18"
"114";"1000";"2";"3,2";"25";"25"
"116";"1000";"2";"3,2";"26";"26"
"117";"1000";"2";"3,2";"23";"23"
